product_name,stock_level
Salmon Snacks,25
Cheesy Chompers,15
Peanut Butter Biscuits,30
Feathery Fun Sticks,34
Squeaky Sausages,16
Tuna Tidbits,13
Crunchy Carrots,17
Beef Jerky,16
Chicken Chunks,46
Duck Delights,23
Lamb Lovin,22
Turkey Tidbits,25
Fish Fingers,13
Dental Chews,45
Hip & Joint Treats,33
Skin & Coat Formula,33
Calming Chews,48
Training Treats,11
Catnip Mice,23
Feather Wand,40
Laser Pointer,21
Scratching Post,14
Cat Tree,45
Litter Box,48
Litter Scoop,18
Cat Food (dry),15
Cat Food (wet),24
Dog Food (dry),28
Dog Food (wet),15
Dog Leash,23
Dog Collar,23
Dog Harness,40
Dog Bed,30
Dog Toys,41
Cat Toys,40
Pet Shampoo,35
Pet Conditioner,27
Pet Toothbrush,38
Pet Toothpaste,24
Pet Nail Clippers,30
Pet Carrier,30
Pet Bowls,27
Pet Water Fountain,12
Pet First Aid Kit,40
Pet Grooming Brush,48
Pet Waste Bags,45
Pet Training Clicker,47
Pet Travel Bowl,17
Pet Cooling Mat,34
Pet Heating Pad,11
